# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.get.duration,1779346138208000000,1779346151329000000,0
cacheStateStorage.set.counter,1779346138208000000,1779346151329000000,7
cacheStateStorage.get.counter,1779346138208000000,1779346151329000000,10
cacheStateStorage.set.duration,1779346138208000000,1779346151329000000,5
NonBlockingReadAction.failedExecutionTimeUs,1779346138208000000,1779346151329000000,0
NonBlockingReadAction.finalizedExecutionsCount,1779346138208000000,1779346151329000000,17
AWTEventQueue.dispatchTimeTotalNS,1779346138208000000,1779346151329000000,7706495478
NonBlockingReadAction.finalizedExecutionTimeUs,1779346138208000000,1779346151329000000,33015
NonBlockingReadAction.failedExecutionsCount,1779346138208000000,1779346151329000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1779346138208000000,1779346151329000000,0
FilePageCache.capacityInBytes,1779346138208000000,1779346151329000000,503316478
StorageLockContext.competingThreads.avg,1779346138208000000,1779346151329000000,0.0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1779346138208000000,1779346151329000000,0
StorageLockContext.competingThreads.max,1779346138208000000,1779346151329000000,0
FilePageCache.totalPageDisposalsUs,1779346138208000000,1779346151329000000,937
FilePageCacheLockFree.totalHeapBytesReclaimed,1779346138208000000,1779346151329000000,0
FilePageCacheLockFree.totalPagesRequested,1779346138208000000,1779346151329000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1779346138208000000,1779346151329000000,41943040
FilePageCacheLockFree.totalNativeBytesAllocated,1779346138208000000,1779346151329000000,0
FilePageCacheLockFree.totalPagesReadMs,1779346138208000000,1779346151329000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1779346138208000000,1779346151329000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1779346138208000000,1779346151329000000,0
FilePageCacheLockFree.totalBytesWritten,1779346138208000000,1779346151329000000,0
FilePageCacheLockFree.totalPagesAllocated,1779346138208000000,1779346151329000000,0
FilePageCacheLockFree.nativeBytesInUse,1779346138208000000,1779346151329000000,0
